tconst,parentTconst,seasonNumber,episodeNumber
tt2802532,tt0460649,9.0,1.0
tt2802534,tt2365093,,
tt2802544,tt2071372,2.0,24.0
tt2802552,tt1495708,4.0,1.0
tt2802554,tt2073386,1.0,71.0
tt28025586,tt6794192,1.0,227.0
tt28025591,tt0318881,1.0,4.0
tt28025593,tt0318881,1.0,75.0
tt28025607,tt10135190,1.0,4.0
tt28025608,tt10135190,1.0,60.0
tt28025609,tt0426701,,
tt28025612,tt7293576,,
tt28025614,tt0426701,,
tt28025617,tt11908688,,
tt28025618,tt0222585,1.0,4.0
tt28025620,tt0426701,,
tt28025621,tt11125692,1.0,31.0
tt28025622,tt0426701,,
tt28025627,tt0426701,,
tt2802572,tt2785408,1.0,5.0
tt2802574,tt0206501,40.0,12.0
tt2802576,tt1933854,5.0,2.0
tt2802578,tt1933854,5.0,4.0
tt2802584,tt0206501,40.0,13.0
tt2802586,tt1933854,5.0,6.0
tt2802588,tt0206501,40.0,11.0
tt2802590,tt1933854,5.0,3.0
tt2802592,tt1933854,5.0,5.0
tt2802594,tt1933854,5.0,8.0
tt2802596,tt1933854,5.0,1.0
tt2802598,tt1933854,5.0,7.0
tt2802600,tt1660870,12.0,12.0
tt2802604,tt2674558,1.0,3.0
tt28026059,tt0426701,,
tt28026066,tt7713450,6.0,2.0
tt28026101,tt28018710,,
tt28026105,tt28018710,,
tt2802612,tt0048860,1.0,1.0
tt2802614,tt2670024,1.0,1.0
tt2802616,tt2670024,1.0,2.0
tt28026164,tt28018710,,
tt28026182,tt28018710,,
tt28026183,tt28018710,,
tt28026185,tt0426701,,
tt28026186,tt7555400,3.0,2.0
tt28026187,tt15409342,7.0,162.0
tt28026190,tt24017294,1.0,11.0
tt28026193,tt12018398,1.0,4.0
tt28026196,tt0370198,1.0,43.0
tt28026197,tt16452678,2.0,10.0
tt28026199,tt8171352,8.0,11.0
tt2802620,tt2229907,3.0,7.0
tt28026200,tt8171352,8.0,12.0
tt28026206,tt28025144,1.0,1.0
tt28026207,tt28025144,1.0,3.0
tt28026208,tt28025144,1.0,2.0
tt28026209,tt8171352,8.0,13.0
tt28026211,tt0441079,1.0,1.0
tt28026212,tt0441079,1.0,50.0
tt28026213,tt8171352,8.0,14.0
tt28026214,tt27977009,1.0,4.0
tt2802622,tt2670024,1.0,3.0
tt28026220,tt27977009,1.0,5.0
tt28026221,tt27977009,1.0,6.0
tt28026223,tt23141234,,
tt28026225,tt8171352,8.0,15.0
tt28026228,tt27889213,1.0,1.0
tt28026230,tt0383830,1.0,1.0
tt28026231,tt27889213,1.0,2.0
tt28026232,tt4845656,,
tt28026233,tt28025596,1.0,1.0
tt28026234,tt8171352,8.0,16.0
tt28026237,tt4203604,,
tt2802624,tt2785408,1.0,6.0
tt28026243,tt28025596,1.0,2.0
tt28026246,tt6064134,,
tt28026248,tt8171352,8.0,17.0
tt28026251,tt28025596,1.0,3.0
tt28026252,tt0383830,1.0,60.0
tt28026253,tt5156110,16.0,1.0
tt28026255,tt23941800,,
tt28026256,tt28025596,1.0,4.0
tt28026258,tt5156110,16.0,2.0
tt28026262,tt11572782,,
tt28026266,tt27889213,1.0,3.0
tt28026267,tt27889213,1.0,4.0
tt28026268,tt27889213,1.0,5.0
tt28026269,tt28025596,1.0,5.0
tt28026272,tt27889213,1.0,6.0
tt28026274,tt4864698,,
tt28026277,tt28025596,1.0,6.0
tt28026279,tt8171352,8.0,18.0
tt2802630,tt2229907,3.0,6.0
tt2802636,tt2229907,3.0,8.0
tt2802638,tt2229907,3.0,9.0
tt2802640,tt2229907,3.0,10.0
tt2802644,tt2229907,3.0,11.0
tt28026465,tt28025596,1.0,7.0
tt2802652,tt2225700,1.0,50.0
tt2802654,tt1213906,,
tt2802658,tt0184090,,
tt2802660,tt0154053,,
tt2802662,tt1746642,,
tt2802666,tt0167515,,
tt2802668,tt1756927,4.0,1.0
tt2802672,tt1500570,,
tt2802674,tt0380086,,
tt2802676,tt0414740,,
tt2802678,tt1307083,11.0,6.0
tt28026796,tt8171352,8.0,19.0
tt2802680,tt0487185,,
tt2802682,tt1002838,7.0,54.0
tt2802688,tt0396979,,
tt28026889,tt28025596,1.0,8.0
tt2802690,tt1159833,,
tt2802692,tt0166442,,
tt2802694,tt1092504,,
tt2802696,tt0379623,10.0,132.0
tt28026965,tt28025596,1.0,9.0
tt2802698,tt0072506,,
tt2802700,tt0072506,,
tt2802702,tt0072506,,
tt2802704,tt0072506,,
tt2802706,tt0072506,,
tt2802708,tt0437741,11.0,12.0
tt2802710,tt0346307,,
tt2802712,tt0115227,,
tt28027121,tt16463546,,
tt2802714,tt0437741,11.0,13.0
tt2802716,tt0403813,,
tt28027169,tt28025596,1.0,10.0
tt2802718,tt1095213,,
tt2802720,tt1231460,,
tt2802722,tt1231460,,
tt2802724,tt0136668,,
tt28027250,tt28025596,1.0,11.0
tt2802726,tt0270116,,
tt28027279,tt28001985,1.0,10.0
tt2802728,tt0231035,,
tt2802730,tt0120986,,
tt2802732,tt0120986,,
tt28027329,tt8171352,8.0,20.0
tt28027330,tt12571082,,
tt28027331,tt28025596,1.0,12.0
tt28027336,tt28025596,1.0,13.0
tt28027338,tt28001985,1.0,11.0
tt28027339,tt28025596,1.0,14.0
tt2802734,tt0247880,,
tt28027340,tt8171352,8.0,21.0
tt28027342,tt28025596,1.0,15.0
tt28027343,tt28001985,1.0,12.0
tt28027349,tt8171352,8.0,22.0
tt28027351,tt6214922,,
tt28027354,tt8171352,8.0,23.0
tt28027356,tt5747326,4.0,75.0
tt28027359,tt8171352,8.0,24.0
tt2802736,tt1084587,,
tt28027360,tt28001985,1.0,13.0
tt28027368,tt5747326,4.0,76.0
tt28027369,tt8171352,8.0,25.0
tt28027373,tt28001985,1.0,14.0
tt28027375,tt10739006,4.0,8.0
tt28027379,tt8171352,8.0,26.0
tt2802738,tt1084587,,
tt28027388,tt27653751,1.0,1.0
tt28027390,tt28001985,1.0,15.0
tt28027391,tt27653751,1.0,2.0
tt28027393,tt8171352,8.0,27.0
tt28027394,tt27653751,1.0,3.0
tt28027397,tt27653751,1.0,4.0
tt2802740,tt1084587,,
tt28027402,tt27653751,1.0,5.0
tt28027403,tt28001985,1.0,16.0
tt28027410,tt27238881,2.0,16.0
tt28027413,tt21805840,,
tt28027414,tt21805840,,
tt28027416,tt6214922,,
tt28027418,tt28001985,1.0,17.0
tt28027419,tt8171352,8.0,28.0
tt2802742,tt0442646,,
tt28027430,tt8171352,8.0,29.0
tt28027431,tt21805840,,
tt28027433,tt28001985,1.0,18.0
tt28027436,tt21805840,,
tt28027438,tt21805840,,
tt2802744,tt0435994,,
tt28027440,tt21805840,,
tt28027442,tt6214922,,
tt28027443,tt0056758,,
tt28027444,tt21805840,,
tt28027446,tt5763680,4.0,16.0
tt28027449,tt21805840,,
tt28027452,tt12887524,7.0,12.0
tt28027453,tt16607886,1.0,68.0
tt28027459,tt8171352,8.0,30.0
tt2802746,tt1430587,5.0,10.0
tt28027460,tt28001985,1.0,19.0
tt28027462,tt0056758,,
tt2802748,tt0458254,9.0,83.0
tt28027492,tt21805840,,
tt2802750,tt0437741,11.0,14.0
tt2802752,tt0472985,,
tt28027531,tt8171352,8.0,31.0
tt2802754,tt0356286,,
tt2802756,tt0437741,11.0,11.0
tt2802758,tt1752508,,
tt28027599,tt21805840,,
tt28027615,tt5763680,4.0,14.0
tt2802762,tt0149408,,
tt2802764,tt0149408,,
tt28027645,tt21805840,,
tt2802766,tt1280627,,
tt2802770,tt0115147,18.0,83.0
tt28027732,tt7601592,,
tt2802774,tt1395106,5.0,23.0
tt2802776,tt0284767,,
tt2802780,tt1261356,,
tt2802782,tt2785408,1.0,7.0
tt2802784,tt2785408,1.0,8.0
tt2802786,tt2785408,1.0,9.0
tt28027860,tt21805840,,
