tconst,directors,writers
tt0930322,nm5121260,nm0852706
tt0930323,nm0173806,nm0852706
tt0930324,nm0173806,nm0852706
tt0930325,nm0005826,nm0846073
tt0930326,nm0561797,nm0846073
tt0930327,nm0173806,nm0930178
tt0930328,nm0461497,nm2684170
tt0930329,nm0173806,nm0422037
tt0930330,nm0005826,nm0166018
tt0930331,nm0461497,nm2684170
tt0930332,nm0026755,nm2684170
tt0930333,nm0654109,nm0852706
tt0930334,nm0461497,nm0169969
tt0930335,nm0005826,nm0852706
tt0930336,nm0561797,nm0166018
tt0930337,nm0654109,nm0852706
tt0930338,nm0561797,nm0259102
tt0930339,nm0005826,"nm0238083,nm0852706"
tt0930340,nm5121260,nm2684170
tt0930341,nm0005826,nm0930178
tt0930342,nm0461497,nm2684170
tt0930343,nm0005826,nm0073823
tt0930344,nm0561797,nm0934892
tt0930345,nm0561797,nm0166018
tt0930346,nm0005826,nm2684170
tt0930347,nm0005826,nm0259102
tt0930348,nm0173806,nm0846073
tt0930349,nm0005826,nm0546100
tt0930350,,
tt0930351,nm1449585,
tt0930352,,nm4832978
tt0930353,nm2407631,
tt0930354,"nm2495096,nm0407024","nm2935951,nm0257939,nm0425061"
tt0930355,nm0407024,"nm2935951,nm0257939,nm0425061,nm2057312"
tt0930356,"nm2569616,nm0283253,nm0594084","nm0946695,nm2019778,nm0157123,nm0765126"
tt0930357,"nm2569616,nm0283253,nm0594084","nm0946695,nm2019778,nm0157123,nm0765126"
tt0930358,"nm2960646,nm0283253,nm0594084","nm0946695,nm2019778,nm0157123,nm0765126"
tt0930359,"nm0116841,nm2506269",nm2482760
tt0930360,"nm1129833,nm0879251","nm1138741,nm1139915,nm1233089"
tt0930361,nm1129833,"nm1233089,nm1232629"
tt0930362,nm1129833,"nm1138741,nm2488359,nm1233089"
tt0930363,nm1129833,"nm1129833,nm1138741,nm1232629,nm1233089,nm1139915,nm2488359,nm2487393"
tt0930364,nm1129833,"nm1129833,nm1139915,nm1233089"
tt0930365,nm1129833,"nm1232629,nm1233089"
tt0930366,nm1129833,"nm1232629,nm1233089"
tt0930367,nm1129833,"nm1138741,nm2488359,nm1233089"
tt0930368,nm1129833,"nm2487393,nm1129833,nm1233089"
tt0930369,nm0879251,"nm1138741,nm2488359,nm1233089"
tt0930370,nm1129833,"nm1138741,nm2488359,nm1233089"
tt0930371,nm1129833,"nm1129833,nm1139915,nm1233089"
tt0930372,nm1129833,"nm1232629,nm1233089"
tt0930373,nm1129833,"nm1232629,nm1233089"
tt0930374,nm1129833,"nm1139915,nm2487393,nm1233089"
tt0930375,nm1129833,"nm1138741,nm1139915,nm1233089"
tt0930376,nm0879251,"nm1138741,nm1139915,nm2488359,nm1129833,nm1233089"
tt0930377,nm1129833,"nm1129833,nm1233089"
tt0930378,nm1129833,"nm1129833,nm1233089"
tt0930379,nm1129833,"nm1138741,nm1139915,nm1233089"
tt0930380,nm1129833,"nm1138741,nm1139915,nm1233089"
tt0930381,nm1129833,"nm1138741,nm1139915,nm1233089"
tt0930382,nm1129833,"nm1129833,nm1233089"
tt0930383,nm1030886,"nm0060914,nm0767902"
tt0930384,nm0500722,nm1463251
tt0930385,nm0500722,nm1463251
tt0930386,nm0500722,nm2478543
tt0930387,nm0500722,nm1463251
tt0930388,"nm0500722,nm0407354,nm0667666","nm1463251,nm0923941,nm0765801"
tt0930389,nm0500722,nm1463251
tt0930390,nm0500722,nm1463251
tt0930391,nm0500722,nm1463251
tt0930392,nm0500722,nm2478543
tt0930393,nm0500722,nm0358905
tt0930394,nm0500722,nm0358905
tt0930395,nm0500722,nm0358905
tt0930396,"nm1136926,nm0541027,nm0563032,nm0598173,nm0754763","nm0137772,nm0139039,nm1154868,nm0154499,nm0303511,nm6677729,nm2385400,nm1167008"
tt0930397,"nm1136926,nm0541027,nm0563032,nm0598173,nm0754763","nm0137772,nm0139039,nm1154868,nm0154499,nm0303511,nm6677729,nm2385400,nm1167008"
tt0930398,"nm1136926,nm0541027,nm0563032,nm0598173,nm0754763","nm0137772,nm0139039,nm1154868,nm0154499,nm0303511,nm6677729,nm2385400,nm1167008"
tt0930399,"nm1136926,nm0541027,nm0563032,nm0598173,nm0754763","nm0137772,nm0139039,nm1154868,nm0154499,nm0303511,nm6677729,nm2385400,nm1167008"
tt0930400,,
tt0930401,nm1216286,
tt0930402,nm1216286,
tt0930403,nm1216286,
tt0930404,nm1216286,
tt0930405,nm1216286,
tt0930406,nm1216286,
tt0930407,nm1216286,
tt0930408,nm1216286,
tt0930409,nm1216286,
tt0930410,nm1216286,
tt0930411,nm1216286,
tt0930412,nm1216286,
tt0930413,nm1216286,
tt0930414,nm0331069,nm0863481
tt0930415,nm0354793,nm0759415
tt0930416,nm0354793,nm0759415
tt0930417,nm0354793,nm0411445
tt0930418,nm0395105,nm0759415
tt0930419,nm0354793,nm0779606
tt0930420,nm0567754,nm0863481
tt0930421,nm0331069,nm0320637
