titleId,ordering,title,region,language,types,attributes,isOriginalTitle
tt13685138,8,Episodio #12.42,ES,es,,,0
tt1368514,1,Anthony Mackie/Roger Robinson/Larry Gilliard Jr.,,,original,,1
tt13685140,1,Episode #11.113,,,original,,1
tt13685140,2,Episódio #11.113,PT,pt,,,0
tt13685140,3,एपिसोड #11.113,IN,hi,,,0
tt13685140,4,Épisode #11.113,FR,fr,,,0
tt13685140,5,Episodio #11.113,IT,it,,,0
tt13685140,6,Folge #11.113,DE,de,,,0
tt13685140,7,エピソード #11.113,JP,ja,,,0
tt13685140,8,Episodio #11.113,ES,es,,,0
tt13685144,1,Nr. 1 i USA,,,original,,1
tt13685146,1,Episode #11.114,,,original,,1
tt13685146,2,Episódio #11.114,PT,pt,,,0
tt13685146,3,एपिसोड #11.114,IN,hi,,,0
tt13685146,4,Épisode #11.114,FR,fr,,,0
tt13685146,5,Episodio #11.114,IT,it,,,0
tt13685146,6,Folge #11.114,DE,de,,,0
tt13685146,7,エピソード #11.114,JP,ja,,,0
tt13685146,8,Episodio #11.114,ES,es,,,0
tt1368515,1,Angelo Lozada/Luenell/Rod Man/Will-E Robo,,,original,,1
tt13685150,1,Episode #11.118,,,original,,1
tt13685150,2,Episódio #11.118,PT,pt,,,0
tt13685150,3,एपिसोड #11.118,IN,hi,,,0
tt13685150,4,Épisode #11.118,FR,fr,,,0
tt13685150,5,Episodio #11.118,IT,it,,,0
tt13685150,6,Folge #11.118,DE,de,,,0
tt13685150,7,エピソード #11.118,JP,ja,,,0
tt13685150,8,Episodio #11.118,ES,es,,,0
tt13685152,1,Episode #11.115,,,original,,1
tt13685152,2,Episódio #11.115,PT,pt,,,0
tt13685152,3,एपिसोड #11.115,IN,hi,,,0
tt13685152,4,Épisode #11.115,FR,fr,,,0
tt13685152,5,Episodio #11.115,IT,it,,,0
tt13685152,6,Folge #11.115,DE,de,,,0
tt13685152,7,エピソード #11.115,JP,ja,,,0
tt13685152,8,Episodio #11.115,ES,es,,,0
tt13685156,1,Episode #11.119,,,original,,1
tt13685156,2,Episódio #11.119,PT,pt,,,0
tt13685156,3,एपिसोड #11.119,IN,hi,,,0
tt13685156,4,Épisode #11.119,FR,fr,,,0
tt13685156,5,Episodio #11.119,IT,it,,,0
tt13685156,6,Folge #11.119,DE,de,,,0
tt13685156,7,エピソード #11.119,JP,ja,,,0
tt13685156,8,Episodio #11.119,ES,es,,,0
tt13685158,1,Episode #11.116,,,original,,1
tt13685158,2,Episódio #11.116,PT,pt,,,0
tt13685158,3,एपिसोड #11.116,IN,hi,,,0
tt13685158,4,Épisode #11.116,FR,fr,,,0
tt13685158,5,Episodio #11.116,IT,it,,,0
tt13685158,6,Folge #11.116,DE,de,,,0
tt13685158,7,エピソード #11.116,JP,ja,,,0
tt13685158,8,Episodio #11.116,ES,es,,,0
tt1368516,1,Carmen Barton/Raymond Grady/Shang/Joey Medina,,,original,,1
tt13685160,1,Episode #11.117,,,original,,1
tt13685160,2,Episódio #11.117,PT,pt,,,0
tt13685160,3,एपिसोड #11.117,IN,hi,,,0
tt13685160,4,Épisode #11.117,FR,fr,,,0
tt13685160,5,Episodio #11.117,IT,it,,,0
tt13685160,6,Folge #11.117,DE,de,,,0
tt13685160,7,エピソード #11.117,JP,ja,,,0
tt13685160,8,Episodio #11.117,ES,es,,,0
tt13685162,1,Episode #11.120,,,original,,1
