tconst,averageRating,numVotes
tt13959294,5.2,18
tt13959304,7.1,16
tt13959322,8.2,6
tt13959362,5.4,643
tt13959416,8.6,17
tt13959468,8.6,1008
tt13959480,7.8,377
tt13959514,6.2,33
tt13959526,7.4,15
tt13959530,7.7,13
tt13959532,7.4,12
tt13959550,7.4,74
tt13959552,7.2,77
tt13959568,7.0,6
tt13959570,5.3,55
tt13959572,6.6,15
tt13959584,6.7,12
tt13959594,6.6,7
tt13959620,7.2,12
tt13959642,6.8,84
tt13959686,6.5,11
tt13959726,7.0,7
tt13959748,6.8,77
tt13959758,6.1,13
tt13959760,5.0,15
tt13959762,8.8,54
tt13959766,8.0,6
tt13959778,8.5,9
tt13959780,8.4,8
tt13959786,8.4,10
tt13959788,8.1,8
tt13959790,7.4,13
tt13959804,9.7,7
tt13959806,9.2,11
tt13959822,5.8,12
tt13959874,8.1,84
tt13959894,8.6,21
tt13959896,7.8,77
tt13959900,8.0,78
tt13959904,7.5,73
tt13959938,8.4,8
tt13959940,9.8,13
tt13959960,9.6,9
tt13959978,6.5,9
tt13960062,7.1,8
tt13960070,8.8,9
tt13960072,9.4,11
tt13960080,6.7,8
tt13960086,9.3,7
tt13960088,9.8,9
tt13960102,4.0,8
tt13960138,5.8,6
tt13960150,6.2,7
tt13960214,8.0,7
tt13960224,7.8,17
tt13960244,6.2,6
tt13960254,6.8,185
tt13960276,7.6,6
tt13960282,7.4,6
tt13960292,8.0,110
tt13960296,6.2,8
tt13960300,6.9,26
tt13960306,6.3,79
tt13960350,7.2,6
tt13960366,7.6,5
tt13960460,7.6,150
tt13960546,9.2,7
tt13960696,7.8,220
tt13960714,5.5,48
tt13961036,5.4,55
tt13961048,8.7,6
tt13961050,7.4,2152
tt13961058,7.7,2120
tt13961072,8.3,603
tt13961076,8.1,2583
tt13961140,9.0,912
tt13961292,6.6,118
tt13961296,6.8,100
tt13961300,6.8,96
tt13961306,5.2,12
tt13961348,7.2,3915
tt13961362,8.7,9
tt13961574,6.6,175
tt13961618,7.7,44
tt13961630,8.3,93
tt13961674,8.0,76
tt13961718,8.2,35
tt13961988,6.1,108
tt1396207,7.5,1280
tt1396208,4.4,7522
tt1396209,7.8,64
tt13962116,9.3,9
tt13962118,4.2,15
tt1396212,6.7,625
tt1396214,6.8,21
tt13962176,7.2,23
tt1396218,6.0,110013
tt1396219,5.3,2866
tt1396220,7.9,21
tt1396221,4.5,8849
tt1396222,7.8,118
tt1396224,7.4,120
tt1396225,7.5,23
tt1396226,7.3,17782
tt1396227,7.1,5467
tt1396228,2.2,6
tt1396230,6.6,5
tt1396235,3.0,40
tt1396238,9.6,7
tt13962396,5.1,26
tt13962402,6.9,692
tt1396242,9.0,13
tt13962432,7.3,50
tt1396247,6.3,34
tt1396250,4.5,6
tt1396259,6.8,7
tt13962606,7.4,7
tt1396265,7.3,21
tt13962650,7.2,56
tt1396269,8.6,7
tt13962728,8.0,38
tt1396274,7.6,8
tt13962750,6.8,16
tt13962774,6.6,1407
tt13962776,6.9,1025
tt13962780,7.1,974
tt13962782,6.1,739
tt13962788,5.9,721
tt13962790,5.3,572
tt13962802,6.9,94
tt13962804,7.4,88
tt13962806,7.4,76
tt13962810,7.2,73
tt13962812,7.1,73
tt13962814,6.2,84
tt13962860,7.5,72
tt13962886,7.4,608
tt13962940,8.2,9
tt1396298,7.0,33
tt1396299,6.8,34
tt1396300,7.0,30
tt13963098,6.3,90
tt1396315,6.1,12
tt1396316,6.5,13
tt13963196,8.5,6
tt1396326,7.1,38
tt1396328,6.9,14
tt1396329,6.8,14
tt13963366,7.1,29
tt13963424,6.9,14
tt13963444,5.9,53
tt13963530,7.5,263
tt13963558,7.3,1294
tt13963618,5.8,9
tt13963648,5.7,47
tt1396369,7.1,159
tt13963820,7.5,19
tt13963828,6.8,67
tt13963838,6.9,22
tt13963856,7.2,7
tt13963948,9.5,6
tt13963956,7.3,185
tt13963972,6.8,8
tt1396400,6.8,8
tt13964000,7.1,31
tt13964002,4.4,380
tt1396401,5.2,452
tt13964052,5.6,53
tt13964058,5.6,15
tt1396406,5.7,26
tt1396407,8.2,10
tt13964084,8.2,21
tt13964086,6.6,9
tt13964088,8.1,20
tt13964090,8.0,20
tt13964098,5.7,23
tt13964142,7.8,79
tt13964166,8.0,591
tt13964174,7.3,9
tt13964178,7.2,9
tt13964186,8.5,9
tt1396420,7.4,14
tt13964204,4.8,8
tt13964210,8.7,63
tt13964214,8.0,66
tt13964218,7.9,374
tt1396422,7.2,6
tt13964242,6.9,13
tt13964246,9.0,24
tt13964276,4.1,27
tt13964304,8.7,8
tt1396431,6.3,74
tt13964328,1.3,34
tt1396433,8.9,22
tt13964356,6.4,22
tt13964376,6.4,33
tt1396438,7.2,28
tt13964390,5.2,37409
tt13964404,5.4,5266
tt1396445,8.0,6
tt13964458,5.5,9
tt1396446,7.0,8
tt1396447,8.6,11
tt13964476,7.9,7
tt1396448,4.7,20
tt1396452,9.6,15
tt13964528,8.0,27
tt1396456,6.9,23
tt13964560,6.0,47
tt13964562,6.4,14
tt1396458,2.2,34
tt1396459,5.5,6
tt13964590,8.1,14
tt13964594,8.1,17
tt13964600,8.5,12
tt13964602,8.7,13
tt13964608,8.3,18
tt1396461,6.4,37
tt1396464,9.7,7
tt1396465,5.3,60
tt13964664,6.5,15
tt1396467,8.5,81
tt13964670,7.4,17
