nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm11047401,Francis O'Neill,,,writer,tt0057834
nm11047402,Svetislav Radonjic,,,"actor,camera_department","tt32981864,tt11098274,tt12840502"
nm11047403,Dragana Kolundzija,,,actress,tt11098274
nm11047405,Christine Rudolph,,,,tt9680176
nm11047406,Ikponmwosa,,,,
nm11047407,Giel Roggeveen,,,"camera_department,writer,miscellaneous","tt15270474,tt34746218,tt11098320,tt30698998"
nm11047408,Twan van Exsel,,,actor,"tt33367604,tt11098320"
nm11047409,Elmar Senft,,,,tt1037645
nm1104741,Giuseppe Botteghi,,,camera_department,"tt0078445,tt0094901,tt0079207,tt0075045"
nm11047410,Mal2,,,,
nm11047411,Mike Erickson,,,actor,tt0322312
nm11047412,Gabriele Ricciotti,,,camera_department,"tt3499954,tt17066492,tt29313511,tt11162652"
nm11047413,Victor Plaza,,,animation_department,tt8884326
nm11047414,Fabrizio Lecce,,,camera_department,tt11097204
nm11047415,Charlie Davis,,,,
nm11047416,Mireia Ginesta,,,costume_department,tt5862296
nm11047417,Marta Muñoz,,,costume_department,tt5862296
nm11047418,Jorge Garcia,,,miscellaneous,"tt5862296,tt14077696"
nm11047419,Eduardo Rodriguez,,,miscellaneous,tt5862296
nm1104742,Laura Bottigelli,,,actress,"tt0300763,tt0363958,tt0345746,tt0867702"
nm11047420,Enrike Alonso,,,miscellaneous,tt5862296
nm11047421,Caitlin Havens,,,,
nm11047422,Ray Ekins,,,producer,tt9283908
nm11047423,Lesley Ekins,,,producer,tt9283908
nm11047425,St. Michaelis-Chor Hamburg,,,,"tt11098478,tt1085692"
nm11047426,Steve Russle,,,sound_department,"tt8255452,tt8761814"
nm11047427,Jon Ruse,,,sound_department,"tt32259641,tt6834916,tt13932162,tt8255452"
nm11047428,Julian Andreassen,,,location_management,tt8332130
nm11047429,Piero Maccarinelli,,,writer,tt29311694
nm1104743,Catherine Boulard,,,make_up_department,tt0083013
nm11047430,Lil Tracy,,,"actor,composer","tt11155694,tt29630580,tt9617716"
nm11047431,Fish Narc,,,"composer,actor","tt13412220,tt9617716"
nm11047432,Rocca Morra Hodge,,,actress,tt11095500
nm11047433,Randy Hodge,,,actor,tt11095500
nm11047434,Connie Milani,,,actress,tt11095500
nm11047435,Alexandra Buchanan,,,actress,tt11095500
nm11047436,Basil Montgomery Buchanan,,,actor,tt11095500
nm11047437,Fang Wei,,,director,
nm11047438,Tfboys,,,"actor,soundtrack",
nm11047439,Impala Ray,,,,"tt2698720,tt0486535,tt0376450,tt0396384"
nm1104744,Erkine Bouljourov,,,"actor,camera_department","tt0301587,tt5612426"
nm11047440,Leonie Adam,1993.0,,,"tt1334190,tt0396384"
nm11047443,Kevin Tambaud,,,sound_department,tt8761814
nm11047446,Dirk Anslinger,,,,tt2162881
nm11047447,Rudolf Kleibe,,,,tt2162881
nm11047448,Jacques Nollo,,,writer,tt0283376
nm11047449,Jean Bloch-Daniel,,,writer,tt0283376
nm1104745,Cliff Boulé,,,"art_department,visual_effects,art_director","tt0102975,tt0120587,tt0107009,tt0492680"
nm11047450,Daniel T. Johnson,,,"visual_effects,art_department","tt13664452,tt9382172"
nm11047452,Sean Arnett,,,actor,tt11095500
nm11047453,Amanda Goreski,,,producer,"tt13223722,tt10305114"
nm11047454,Jgrxxn,,,"director,actor,editor",tt9617716
nm11047455,Ghostemane,,,"actor,composer,producer","tt13587832,tt13491120,tt13569956,tt15469826"
nm11047457,Jason S. Logan,,,,tt10380976
nm11047458,Franco Ranghino,,,composer,tt11098746
nm11047459,Julia Riolo,,,actress,tt11095500
nm1104746,Sophie Bourdon,,,actress,"tt0169458,tt1669798,tt8630054,tt4322508"
nm11047462,David Ahearn,,,,tt11098774
nm11047463,Adi Bachan,,,,tt11098774
nm11047464,Alana Rood,,,"producer,editor,production_manager","tt22492354,tt21151780,tt11098774"
nm11047465,David Schmitt,,,director,tt11098776
nm11047466,Daniel Camel,,,writer,tt11098776
nm11047467,Jared Greenhouse,,,producer,tt11098776
nm11047468,Kelly Brooks,,,producer,tt11098776
nm11047469,Meek Octane,,,composer,tt11098776
nm1104747,Montagu Boureler,,,"composer,sound_department",tt0304823
nm11047470,Nicholas Remi,,,cinematographer,tt11098776
nm11047471,J.M. Moore,,,editor,tt11098776
nm11047472,Bryan Dobber,,,camera_department,tt11098776
nm11047473,Mary Freda,,,costume_department,tt11098776
nm11047474,Lisa Monte,,,"make_up_department,miscellaneous",tt11098776
nm11047475,Jasper Kool Aid,,,music_department,tt11098776
nm11047476,James Toll,,,sound_department,tt11098776
nm11047477,Cyrielle,,,,
nm11047478,Jiro Kuroshio,1992.0,,actor,"tt18259734,tt6286394,tt1601141,tt34689979"
nm11047479,Yusuke Kodama,,,,tt11098600
nm1104748,Nikolai Bouriak,,,actor,tt0301587
nm11047480,Andy Wu,,,"actor,director","tt14909092,tt11097842,tt11098600"
nm11047481,El Hijo del Pantera,,,actor,"tt11097842,tt11098600"
nm11047482,Jay,,,actor,tt5812652
nm11047484,Benjamin Ofide,,,,tt11098958
nm11047485,Jonathan Paraiso,,,"cinematographer,editor",tt11098958
nm11047486,Selahattin Dervent,,,,"tt11328624,tt11098104"
nm11047487,Hickson Lovence,,,"writer,director,editor",tt11099018
nm11047488,Shay Fox,,,,
nm1104749,Cordelia Bowe,1965.0,,producer,"tt0118418,tt2798952,tt2813644,tt1534647"
nm11047490,Andrea Schäfer,,,"actress,writer","tt11070222,tt21226550,tt15723746,tt20765400"
nm11047491,Erik Ebert,,,actor,"tt11070222,tt37026466"
nm11047492,Romera,,,,tt2053193
nm11047493,Henry,,,,tt2053193
nm11047494,Stephanie Fagairo,,,,tt2053193
nm11047495,Dorcas Brown,,,,tt2053193
nm11047496,Marc Brown,,,,tt2053193
nm11047497,Felicia Clay,,,,tt2053193
nm11047498,Brian Morton,,,,tt2053193
nm11047499,LaRue Morrison Sr.,,,,tt2053193
nm1104750,Don Bowers,,,producer,tt0305061
nm11047500,Tony Williams,,,,tt2053193
nm11047501,LaRue Morrison,,,,tt2053193
nm11047502,Mary Miaw,,,,tt2053193
nm11047503,Amin Ibrahim,,,,tt2053193
nm11047504,Edward Wodnicki,,,,tt2053193
nm11047505,Kierra Figueroa,,,,tt2053193
nm11047506,Adriana Romero,,,,
nm11047507,Oscar Bech,,,"assistant_director,cinematographer,production_manager","tt14351490,tt18933676,tt12464396,tt11070222"
nm11047508,Peter Hernon,,,writer,tt11099186
nm11047509,Terry Ganey,,,writer,tt11099186
nm1104751,Brian Bowman,,,"actor,stunts,producer","tt2360408,tt2331566,tt0389635,tt0116727"
nm11047510,Travis Knox,,,producer,tt11099186
nm11047511,Drew Smith,,,producer,tt11099186
nm11047512,David Glasser,,,producer,tt11099186
nm11047513,Rabea Tebelmann,,,,tt1158608
nm11047514,Julie Trier,,,miscellaneous,tt11070222
nm11047515,Slavko Perovic,,,,"tt11098104,tt11285524,tt11092360,tt10854164"
nm11047516,Necati Yilmaz,,,,tt11098104
nm11047517,Juana Dapa,,,,tt10907798
nm11047518,Esteban Berrones,,,,tt10907798
nm11047519,Zinthia López,,,,tt10907798
nm1104752,Todd Brunswick,1970.0,2024.0,"editor,producer,writer","tt0875001,tt1584708,tt4267606,tt4267598"
nm11047520,Braulio Málaga,,,,tt10907798
nm11047523,Emre Saglik,,,,"tt26685732,tt15204372,tt11098104,tt11224026"
nm11047524,Andaç Güleryüz,,,,"tt15204372,tt11098104"
nm11047525,Batican Aday,,,,tt11098104
nm11047526,Ali Yalçin,1965.0,,,"tt11285524,tt11098104"
nm11047527,Amrutesh,,,,
nm11047529,Max Francis Hayes,,,"sound_department,director,actor","tt26451156,tt11075958,tt26451106,tt26451012"
nm1104753,Angie Boyd,,,"actress,make_up_department",tt0220605
nm11047530,Anna Walden,,,actress,tt11075958
nm11047531,Verónica Pérez,,,,tt1405465
nm11047532,Charlie Ehlert,,,camera_department,tt1721666
nm11047533,Jeff Hall,,,sound_department,tt1721666
nm11047536,Amit Sindhu,,,camera_department,"tt6277462,tt15281704,tt10543680,tt8108196"
nm11047537,Tinku Mishra,,,camera_department,tt10543680
nm11047538,Urban Matrix,,,,
nm11047539,Anna Giribet,,,,tt7688210
nm1104754,Todi Bozo,1934.0,2018.0,"producer,director,writer","tt0273750,tt0172874,tt0419934,tt0170408"
nm11047540,Ai Sano,,,actress,tt11099416
nm11047541,Nozomi Arimura,,,"actress,archive_footage","tt12703576,tt33377641,tt13409268,tt11099416"
nm11047542,Olga Adroher,,,,tt7688210
nm11047543,Fanny Figueras,,,,tt7688210
nm11047544,Dani Galán,,,,tt7688210
nm11047545,Jordi Pérez,,,,tt7688210
nm11047546,Soowan Bang,,,"writer,assistant_director,director","tt32132856,tt29894151,tt22768772,tt11052558"
nm11047547,Hajin Kim,,,assistant_director,tt11052558
nm11047549,Wojciech Fusek,,,writer,tt11099486
nm1104755,Mihrije Braha,,,actress,tt0304859
nm11047550,Bartosz Gasiul,,,composer,tt11099486
nm11047551,Lukasz Rzepka,,,cinematographer,tt11099486
nm11047552,Savanna Fair,,,editor,tt11099488
nm11047553,Madeleine Galea,,,"producer,actress","tt32798993,tt30138063,tt31988720,tt32231662"
nm11047554,Gerri Abrahamsen,,,,
nm11047555,Paul Lupi,,,,
nm11047556,Mike Losse,,,camera_department,"tt7350856,tt10628092,tt0479842,tt23118788"
nm11047557,Pina Sophia Starke,,,costume_department,tt7350856
nm11047558,Petra Störtzer,,,"editorial_department,producer","tt7350856,tt18885042"
nm11047559,Anna Lieth,,,production_manager,tt7350856
nm1104756,Chela Braniff,,,"miscellaneous,costume_designer,actress","tt0287856,tt0305437,tt0381575,tt1445543"
nm11047560,Cathryn Zambryscka,,,actress,"tt11100204,tt11099522,tt10079808"
nm11047561,Rubén López Cano,,,,tt7688210
nm11047562,Michela Ronci,,,actress,"tt11099544,tt1649795"
nm11047563,Jordi Montenegro,,,actor,"tt11099544,tt16252146"
nm11047564,Antonia Renzella,,,actress,"tt11099544,tt0484917"
nm11047565,Pietro Bovi,,,actor,"tt28153708,tt21979570,tt11099544,tt14064328"
nm11047566,Francesco Bianchini,,,actor,tt11099544
nm11047567,Valeria Luzi,,2025.0,"writer,producer","tt11099544,tt21979570"
nm11047568,Mark Turner,,,,
nm11047569,I V Clark,,,,
nm1104757,Joy Brashears,,,actress,"tt0122161,tt0368287,tt0287198"
nm11047570,Maria Diva,,,,
nm11047571,Palani,,,make_up_department,"tt0230597,tt0214916"
nm11047572,Kemery Bloom,,,producer,tt6550808
nm11047573,Sean Durkin,,,producer,tt6550808
nm11047574,Molly Durkin,,,producer,tt6550808
nm11047575,Ralph Venneti,,,producer,tt6550808
nm11047576,Chris Butler,,,producer,tt6550808
nm11047577,Petey Butler,,,producer,tt6550808
nm11047578,Luis Romo,,,"actor,sound_department","tt12474056,tt10946934,tt12943128,tt9010626"
nm1104758,Sandra Brassard,,,miscellaneous,tt0245238
nm11047582,Mike Patterson,,,miscellaneous,tt1721666
nm11047583,Leanne Murray,,,"camera_department,miscellaneous","tt10674600,tt15053334,tt15049268"
nm11047584,Eddy Sterkel,,,director,tt11099612
nm11047585,Jennifer Martley,,,,
nm11047586,Holly Park,,,actress,tt6068414
nm11047587,Luke Viljoen,,,"animation_department,art_department","tt3828038,tt23182568,tt13532962,tt12139700"
nm11047588,Heike Von Peters,,,animation_department,"tt28451850,tt6068414"
nm11047589,Zacharias Bakker,,,animation_department,tt6068414
nm11047591,Mike Crowley,,,camera_department,tt11096888
